irradiance,current,voltage,cloud_coverage,output_power
639.0508031418598,4.57759699863386,297.7686885511316,0.15319618503407406,737623.5514878731
772.1514930979356,3.7691770173244867,522.0087450545634,0.032811600875769176,1469392.7995224823
682.2107008573151,7.023351294557564,175.22087524653486,0.22879529554679623,647468.1868046619
635.9065463975174,2.073241050299516,253.15469944246018,0.4992463813737149,167129.52750474817
538.9238394711238,0.7427953947672472,147.28511642142792,0.2953893685391519,41543.65009981509
716.7152904533249,3.660266251190525,275.73875736391807,0.6477148132428128,254830.5803917058
550.069769010154,3.4063534472196757,104.89962268396243,0.9351779587008985,12741.017598761786
913.4184006256638,1.205241030781643,345.96679615527563,0.7169901953076628,107790.27148648536
970.9302084008234,8.545622958463827,588.7677292898817,0.18223456858935405,3994886.8865987454
506.75321506062215,6.681477881082082,575.8366022677055,0.2691855595624183,1424870.6298184737
833.3800304661316,0.2579116348956856,334.53000643892653,0.14501530394718687,61476.260760406905
623.1159358023236,5.40159557107785,455.01145273989914,0.22448241820403536,1187694.9201870663
654.4356488751458,1.538031869501718,307.1398194060238,0.7472350785619998,78142.12374602722
940.4773106341288,5.112201367466628,463.10793048279396,0.8906103430339716,243564.92842462778
256.8288465583096,7.712525593729495,154.66912162731214,0.7400790616712668,79631.57487817116
269.7034397612326,4.130536160650608,203.70653772098913,0.661527131808346,76810.70352904566
216.17471795226058,5.968648886858996,179.98766071029067,0.9672529488614514,7604.941247949064
866.0958764383504,5.46438929059197,326.43386732868527,0.43564938735579284,871870.1587905183
822.5254007598804,5.776058597580191,519.7759053005972,0.9497885124535487,123993.84863353592
896.0097185974553,4.781171345106578,111.88210297600328,0.9285630784285454,34239.73387031234
982.8946737862112,1.670319648584453,498.6805857413734,0.34378994008722474,537244.4237357192
839.3268513733789,2.4161426951295875,175.46456944920777,0.206244843361026,282442.2689092598
569.1834898023454,8.940493466169496,530.3683335605546,0.1037585623448658,2418891.5077825035
824.4233410291644,7.382064873596962,502.16078455333604,0.9882929933290303,35778.06069270206
294.61954069514655,9.828658385565364,598.8889882436813,0.5310471852478124,813263.466680412
711.936817062019,0.541300762443897,427.9700803205936,0.2377265894765903,125719.97058136179
314.68262992723714,3.165721045203135,194.6558044368668,0.5894013961348327,79621.47913199026
955.7351336396671,9.592876905305317,279.530488581125,0.4457841823388078,1420347.2124974509
617.4786574000574,4.393788109066712,289.29047284845313,0.7745682560790773,176933.57898082933
531.7295519924189,6.043374463328397,361.83473654861973,0.14599872469103603,992976.749092618
411.6444896837016,5.697414392632383,350.92627102923365,0.8994618124285537,82746.00746025442
819.3869515473733,1.4068940320214574,516.3551961288057,0.790156287077011,124909.34894937325
564.9202657732388,7.311042985282442,311.40924101210015,0.7420245717110796,331799.96072272654
654.7471590949189,0.5831259847690784,549.3706604807028,0.9186305559998744,17067.221608875803
215.03184034908412,5.379628914919071,470.32856382491946,0.31916863970453035,370421.33953206614
694.1083976607016,5.526377842181322,266.34186350055626,0.7234596488248837,282530.8118260924
